,INPUT_DESCRIPTION,MEASUREMENT_TIME,VALUE
1559,Battery Flag,2020-11-20 08:20:23.347,1
1560,Battery Life Time (Seconds).,2020-11-20 08:20:23.347,19601
1561,Battery Charging.,2020-11-20 08:20:23.347,0
1562,Battery Discharging.,2020-11-20 08:20:23.347,1
1563,Battery MaxCapacity (mWh).,2020-11-20 08:20:23.347,69720
1564,Battery estimatedTime (Seconds).,2020-11-20 08:20:23.347,19601
1565,Battery Current Capacity (mWh),2020-11-20 08:20:23.347,62010
1566,Battery Voltage (mv),2020-11-20 08:20:23.347,16599
1567,Battery Rate (mW),2020-11-20 08:20:23.347,-10706
1568,Battery Tag,2020-11-20 08:20:53.279,5
1569,Battery Designed Capacity (mWh) ,2020-11-20 08:20:53.279,70000
1570,Battery Full Charged Capacity (mWh),2020-11-20 08:20:53.279,69720
1571,Battery Cycle Count,2020-11-20 08:20:53.279,12
1572,Battery Left (%).,2020-11-20 08:20:53.346,89
1573,Battery Flag,2020-11-20 08:20:53.346,1
1574,Battery Life Time (Seconds).,2020-11-20 08:20:53.346,19601
1575,Battery Charging.,2020-11-20 08:20:53.346,0
1576,Battery Discharging.,2020-11-20 08:20:53.346,1
1577,Battery MaxCapacity (mWh).,2020-11-20 08:20:53.346,69720
1578,Battery estimatedTime (Seconds).,2020-11-20 08:20:53.346,19601
1579,Battery Current Capacity (mWh),2020-11-20 08:20:53.346,61930
1580,Battery Voltage (mv),2020-11-20 08:20:53.346,16599
1581,Battery Rate (mW),2020-11-20 08:20:53.346,-10756
1582,Battery Tag,2020-11-20 08:21:23.279,5
1583,Battery Designed Capacity (mWh) ,2020-11-20 08:21:23.279,70000
1584,Battery Full Charged Capacity (mWh),2020-11-20 08:21:23.279,69720
1585,Battery Cycle Count,2020-11-20 08:21:23.279,12
1586,Battery Left (%).,2020-11-20 08:21:23.346,89
1587,Battery Flag,2020-11-20 08:21:23.346,1
1588,Battery Life Time (Seconds).,2020-11-20 08:21:23.346,19601
1589,Battery Charging.,2020-11-20 08:21:23.346,0
1590,Battery Discharging.,2020-11-20 08:21:23.346,1
1591,Battery MaxCapacity (mWh).,2020-11-20 08:21:23.346,69720
1592,Battery estimatedTime (Seconds).,2020-11-20 08:21:23.346,19601
1593,Battery Current Capacity (mWh),2020-11-20 08:21:23.346,61840
1594,Battery Voltage (mv),2020-11-20 08:21:23.346,16594
1595,Battery Rate (mW),2020-11-20 08:21:23.346,-10586
1596,Battery Tag,2020-11-20 08:21:53.278,5
1597,Battery Designed Capacity (mWh) ,2020-11-20 08:21:53.278,70000
1598,Battery Full Charged Capacity (mWh),2020-11-20 08:21:53.278,69720
1599,Battery Cycle Count,2020-11-20 08:21:53.278,12
1600,Battery Left (%).,2020-11-20 08:21:53.344,89
1601,Battery Flag,2020-11-20 08:21:53.344,1
1602,Battery Life Time (Seconds).,2020-11-20 08:21:53.344,19601
1603,Battery Charging.,2020-11-20 08:21:53.344,0
1604,Battery Discharging.,2020-11-20 08:21:53.344,1
1605,Battery MaxCapacity (mWh).,2020-11-20 08:21:53.344,69720
1606,Battery estimatedTime (Seconds).,2020-11-20 08:21:53.344,19601
1607,Battery Current Capacity (mWh),2020-11-20 08:21:53.344,61740
1608,Battery Voltage (mv),2020-11-20 08:21:53.344,16583
1609,Battery Rate (mW),2020-11-20 08:21:53.344,-10762
1610,Battery Tag,2020-11-20 08:22:53.277,5
1611,Battery Designed Capacity (mWh) ,2020-11-20 08:22:53.277,70000
1612,Battery Full Charged Capacity (mWh),2020-11-20 08:22:53.277,69720
1613,Battery Cycle Count,2020-11-20 08:22:53.277,12
1614,Battery Left (%).,2020-11-20 08:22:53.344,88
1615,Battery Flag,2020-11-20 08:22:53.344,1
1616,Battery Life Time (Seconds).,2020-11-20 08:22:53.344,17587
1617,Battery Charging.,2020-11-20 08:22:53.344,0
1618,Battery Discharging.,2020-11-20 08:22:53.344,1
1619,Battery MaxCapacity (mWh).,2020-11-20 08:22:53.344,69720
1620,Battery estimatedTime (Seconds).,2020-11-20 08:22:53.344,17587
1621,Battery Current Capacity (mWh),2020-11-20 08:22:53.344,61540
1622,Battery Voltage (mv),2020-11-20 08:22:53.344,16570
1623,Battery Rate (mW),2020-11-20 08:22:53.344,-11350
1624,Battery Tag,2020-11-20 08:23:23.276,5
1625,Battery Designed Capacity (mWh) ,2020-11-20 08:23:23.276,70000
1626,Battery Full Charged Capacity (mWh),2020-11-20 08:23:23.276,69720
1627,Battery Cycle Count,2020-11-20 08:23:23.276,12
1628,Battery Left (%).,2020-11-20 08:23:23.343,88
1629,Battery Flag,2020-11-20 08:23:23.343,1
1630,Battery Life Time (Seconds).,2020-11-20 08:23:23.343,17587
1631,Battery Charging.,2020-11-20 08:23:23.343,0
1632,Battery Discharging.,2020-11-20 08:23:23.343,1
1633,Battery MaxCapacity (mWh).,2020-11-20 08:23:23.343,69720
1634,Battery estimatedTime (Seconds).,2020-11-20 08:23:23.343,17587
1635,Battery Current Capacity (mWh),2020-11-20 08:23:23.343,61450
1636,Battery Voltage (mv),2020-11-20 08:23:23.343,16555
1637,Battery Rate (mW),2020-11-20 08:23:23.343,-10942
1638,Battery Tag,2020-11-20 08:23:53.276,5
1639,Battery Designed Capacity (mWh) ,2020-11-20 08:23:53.276,70000
1640,Battery Full Charged Capacity (mWh),2020-11-20 08:23:53.276,69720
1641,Battery Cycle Count,2020-11-20 08:23:53.276,12
1642,Battery Left (%).,2020-11-20 08:23:53.344,88
1643,Battery Flag,2020-11-20 08:23:53.344,1
1644,Battery Life Time (Seconds).,2020-11-20 08:23:53.344,17587
1645,Battery Charging.,2020-11-20 08:23:53.344,0
1646,Battery Discharging.,2020-11-20 08:23:53.344,1
1647,Battery MaxCapacity (mWh).,2020-11-20 08:23:53.344,69720
1648,Battery estimatedTime (Seconds).,2020-11-20 08:23:53.344,17587
1649,Battery Current Capacity (mWh),2020-11-20 08:23:53.344,61370
1650,Battery Voltage (mv),2020-11-20 08:23:53.344,16561
1651,Battery Rate (mW),2020-11-20 08:23:53.344,-10880
1652,Battery Tag,2020-11-20 08:24:53.275,5
1653,Battery Designed Capacity (mWh) ,2020-11-20 08:24:53.275,70000
1654,Battery Full Charged Capacity (mWh),2020-11-20 08:24:53.275,69720
1655,Battery Cycle Count,2020-11-20 08:24:53.275,12
1656,Battery Left (%).,2020-11-20 08:24:53.341,88
1657,Battery Flag,2020-11-20 08:24:53.341,1
1658,Battery Life Time (Seconds).,2020-11-20 08:24:53.341,17587
1659,Battery Charging.,2020-11-20 08:24:53.341,0
1660,Battery Discharging.,2020-11-20 08:24:53.341,1
1661,Battery MaxCapacity (mWh).,2020-11-20 08:24:53.341,69720
1662,Battery estimatedTime (Seconds).,2020-11-20 08:24:53.341,17587
1663,Battery Current Capacity (mWh),2020-11-20 08:24:53.341,61190
1664,Battery Voltage (mv),2020-11-20 08:24:53.341,16540
1665,Battery Rate (mW),2020-11-20 08:24:53.341,-10519
1666,Battery Tag,2020-11-20 08:25:23.275,5
1667,Battery Designed Capacity (mWh) ,2020-11-20 08:25:23.275,70000
1668,Battery Full Charged Capacity (mWh),2020-11-20 08:25:23.275,69720
1669,Battery Cycle Count,2020-11-20 08:25:23.275,12
1670,Battery Left (%).,2020-11-20 08:25:23.341,88
1671,Battery Flag,2020-11-20 08:25:23.341,1
1672,Battery Life Time (Seconds).,2020-11-20 08:25:23.341,17587
1673,Battery Charging.,2020-11-20 08:25:23.341,0
1674,Battery Discharging.,2020-11-20 08:25:23.341,1
1675,Battery MaxCapacity (mWh).,2020-11-20 08:25:23.341,69720
1676,Battery estimatedTime (Seconds).,2020-11-20 08:25:23.341,17587
1677,Battery Current Capacity (mWh),2020-11-20 08:25:23.341,61100
1678,Battery Voltage (mv),2020-11-20 08:25:23.341,16525
1679,Battery Rate (mW),2020-11-20 08:25:23.341,-10576
1680,Battery Tag,2020-11-20 08:25:53.275,5
1681,Battery Designed Capacity (mWh) ,2020-11-20 08:25:53.275,70000
1682,Battery Full Charged Capacity (mWh),2020-11-20 08:25:53.275,69720
1683,Battery Cycle Count,2020-11-20 08:25:53.275,12
1684,Battery Left (%).,2020-11-20 08:25:53.341,88
1685,Battery Flag,2020-11-20 08:25:53.341,1
1686,Battery Life Time (Seconds).,2020-11-20 08:25:53.341,17587
1687,Battery Charging.,2020-11-20 08:25:53.341,0
1688,Battery Discharging.,2020-11-20 08:25:53.341,1
1689,Battery MaxCapacity (mWh).,2020-11-20 08:25:53.341,69720
1690,Battery estimatedTime (Seconds).,2020-11-20 08:25:53.341,17587
1691,Battery Current Capacity (mWh),2020-11-20 08:25:53.341,61010
1692,Battery Voltage (mv),2020-11-20 08:25:53.341,16533
1693,Battery Rate (mW),2020-11-20 08:25:53.341,-10614
1694,Battery Tag,2020-11-20 08:26:23.274,5
1695,Battery Designed Capacity (mWh) ,2020-11-20 08:26:23.274,70000
1696,Battery Full Charged Capacity (mWh),2020-11-20 08:26:23.274,69720
1697,Battery Cycle Count,2020-11-20 08:26:23.274,12
1698,Battery Left (%).,2020-11-20 08:26:23.341,87
1699,Battery Flag,2020-11-20 08:26:23.341,1
1700,Battery Life Time (Seconds).,2020-11-20 08:26:23.341,20560
1701,Battery Charging.,2020-11-20 08:26:23.341,0
1702,Battery Discharging.,2020-11-20 08:26:23.341,1
1703,Battery MaxCapacity (mWh).,2020-11-20 08:26:23.341,69720
1704,Battery estimatedTime (Seconds).,2020-11-20 08:26:23.341,20560
1705,Battery Current Capacity (mWh),2020-11-20 08:26:23.341,60920
1706,Battery Voltage (mv),2020-11-20 08:26:23.341,16527
1707,Battery Rate (mW),2020-11-20 08:26:23.341,-10593
1708,Battery Tag,2020-11-20 08:26:53.274,5
1709,Battery Designed Capacity (mWh) ,2020-11-20 08:26:53.274,70000
1710,Battery Full Charged Capacity (mWh),2020-11-20 08:26:53.274,69720
1711,Battery Cycle Count,2020-11-20 08:26:53.274,12
1712,Battery Left (%).,2020-11-20 08:26:53.341,87
1713,Battery Flag,2020-11-20 08:26:53.341,1
1714,Battery Life Time (Seconds).,2020-11-20 08:26:53.341,20560
1715,Battery Charging.,2020-11-20 08:26:53.341,0
1716,Battery Discharging.,2020-11-20 08:26:53.341,1
1717,Battery MaxCapacity (mWh).,2020-11-20 08:26:53.341,69720
1718,Battery estimatedTime (Seconds).,2020-11-20 08:26:53.341,20560
1719,Battery Current Capacity (mWh),2020-11-20 08:26:53.341,60820
1720,Battery Voltage (mv),2020-11-20 08:26:53.341,16507
1721,Battery Rate (mW),2020-11-20 08:26:53.341,-11290
1722,Battery Tag,2020-11-20 08:27:23.274,5
1723,Battery Designed Capacity (mWh) ,2020-11-20 08:27:23.274,70000
1724,Battery Full Charged Capacity (mWh),2020-11-20 08:27:23.274,69720
1725,Battery Cycle Count,2020-11-20 08:27:23.274,12
1726,Battery Left (%).,2020-11-20 08:27:23.341,87
1727,Battery Flag,2020-11-20 08:27:23.341,1
1728,Battery Life Time (Seconds).,2020-11-20 08:27:23.341,20560
1729,Battery Charging.,2020-11-20 08:27:23.341,0
1730,Battery Discharging.,2020-11-20 08:27:23.341,1
1731,Battery MaxCapacity (mWh).,2020-11-20 08:27:23.341,69720
1732,Battery estimatedTime (Seconds).,2020-11-20 08:27:23.341,20560
1733,Battery Current Capacity (mWh),2020-11-20 08:27:23.341,60720
1734,Battery Voltage (mv),2020-11-20 08:27:23.341,16482
1735,Battery Rate (mW),2020-11-20 08:27:23.341,-12575
1736,Battery Tag,2020-11-20 08:27:53.273,5
1737,Battery Designed Capacity (mWh) ,2020-11-20 08:27:53.273,70000
1738,Battery Full Charged Capacity (mWh),2020-11-20 08:27:53.273,69720
1739,Battery Cycle Count,2020-11-20 08:27:53.273,12
1740,Battery Left (%).,2020-11-20 08:27:53.338,87
1741,Battery Flag,2020-11-20 08:27:53.338,1
1742,Battery Life Time (Seconds).,2020-11-20 08:27:53.338,20560
1743,Battery Charging.,2020-11-20 08:27:53.338,0
1744,Battery Discharging.,2020-11-20 08:27:53.338,1
1745,Battery MaxCapacity (mWh).,2020-11-20 08:27:53.338,69720
1746,Battery estimatedTime (Seconds).,2020-11-20 08:27:53.338,20560
1747,Battery Current Capacity (mWh),2020-11-20 08:27:53.338,60630
1748,Battery Voltage (mv),2020-11-20 08:27:53.338,16495
1749,Battery Rate (mW),2020-11-20 08:27:53.338,-12288
1750,Battery Tag,2020-11-20 08:28:23.273,5
1751,Battery Designed Capacity (mWh) ,2020-11-20 08:28:23.273,70000
1752,Battery Full Charged Capacity (mWh),2020-11-20 08:28:23.273,69720
1753,Battery Cycle Count,2020-11-20 08:28:23.273,12
1754,Battery Left (%).,2020-11-20 08:28:23.340,87
1755,Battery Flag,2020-11-20 08:28:23.340,1
1756,Battery Life Time (Seconds).,2020-11-20 08:28:23.340,20560
1757,Battery Charging.,2020-11-20 08:28:23.340,0
1758,Battery Discharging.,2020-11-20 08:28:23.340,1
1759,Battery MaxCapacity (mWh).,2020-11-20 08:28:23.340,69720
1760,Battery estimatedTime (Seconds).,2020-11-20 08:28:23.340,20560
1761,Battery Current Capacity (mWh),2020-11-20 08:28:23.340,60520
1762,Battery Voltage (mv),2020-11-20 08:28:23.340,16467
1763,Battery Rate (mW),2020-11-20 08:28:23.340,-11971
1764,Battery Tag,2020-11-20 08:28:53.272,5
1765,Battery Designed Capacity (mWh) ,2020-11-20 08:28:53.272,70000
1766,Battery Full Charged Capacity (mWh),2020-11-20 08:28:53.272,69720
1767,Battery Cycle Count,2020-11-20 08:28:53.272,12
1768,Battery Left (%).,2020-11-20 08:28:53.339,87
1769,Battery Flag,2020-11-20 08:28:53.339,1
1770,Battery Life Time (Seconds).,2020-11-20 08:28:53.339,20560
1771,Battery Charging.,2020-11-20 08:28:53.339,0
1772,Battery Discharging.,2020-11-20 08:28:53.339,1
1773,Battery MaxCapacity (mWh).,2020-11-20 08:28:53.339,69720
1774,Battery estimatedTime (Seconds).,2020-11-20 08:28:53.339,20560
1775,Battery Current Capacity (mWh),2020-11-20 08:28:53.339,60420
1776,Battery Voltage (mv),2020-11-20 08:28:53.339,16485
1777,Battery Rate (mW),2020-11-20 08:28:53.339,-11918
1778,Battery Tag,2020-11-20 08:29:23.272,5
1779,Battery Designed Capacity (mWh) ,2020-11-20 08:29:23.272,70000
1780,Battery Full Charged Capacity (mWh),2020-11-20 08:29:23.272,69720
1781,Battery Cycle Count,2020-11-20 08:29:23.272,12
1782,Battery Left (%).,2020-11-20 08:29:23.340,87
1783,Battery Flag,2020-11-20 08:29:23.340,1
1784,Battery Life Time (Seconds).,2020-11-20 08:29:23.340,20560
1785,Battery Charging.,2020-11-20 08:29:23.340,0
1786,Battery Discharging.,2020-11-20 08:29:23.340,1
1787,Battery MaxCapacity (mWh).,2020-11-20 08:29:23.340,69720
1788,Battery estimatedTime (Seconds).,2020-11-20 08:29:23.340,20560
1789,Battery Current Capacity (mWh),2020-11-20 08:29:23.340,60330
1790,Battery Voltage (mv),2020-11-20 08:29:23.340,16521
1791,Battery Rate (mW),2020-11-20 08:29:23.340,-9978
1792,Battery Tag,2020-11-20 08:29:53.272,5
1793,Battery Designed Capacity (mWh) ,2020-11-20 08:29:53.272,70000
1794,Battery Full Charged Capacity (mWh),2020-11-20 08:29:53.272,69720
1795,Battery Cycle Count,2020-11-20 08:29:53.272,12
1796,Battery Left (%).,2020-11-20 08:29:53.340,86
1797,Battery Flag,2020-11-20 08:29:53.340,1
1798,Battery Life Time (Seconds).,2020-11-20 08:29:53.340,22175
1799,Battery Charging.,2020-11-20 08:29:53.340,0
1800,Battery Discharging.,2020-11-20 08:29:53.340,1
1801,Battery MaxCapacity (mWh).,2020-11-20 08:29:53.340,69720
1802,Battery estimatedTime (Seconds).,2020-11-20 08:29:53.340,22175
1803,Battery Current Capacity (mWh),2020-11-20 08:29:53.340,60250
1804,Battery Voltage (mv),2020-11-20 08:29:53.340,16509
1805,Battery Rate (mW),2020-11-20 08:29:53.340,-10136
1806,Battery Tag,2020-11-20 08:30:23.272,5
1807,Battery Designed Capacity (mWh) ,2020-11-20 08:30:23.272,70000
1808,Battery Full Charged Capacity (mWh),2020-11-20 08:30:23.272,69720
1809,Battery Cycle Count,2020-11-20 08:30:23.272,12
1810,Battery Left (%).,2020-11-20 08:30:23.340,86
1811,Battery Flag,2020-11-20 08:30:23.340,1
1812,Battery Life Time (Seconds).,2020-11-20 08:30:23.340,22175
1813,Battery Charging.,2020-11-20 08:30:23.340,0
1814,Battery Discharging.,2020-11-20 08:30:23.340,1
1815,Battery MaxCapacity (mWh).,2020-11-20 08:30:23.340,69720
1816,Battery estimatedTime (Seconds).,2020-11-20 08:30:23.340,22175
1817,Battery Current Capacity (mWh),2020-11-20 08:30:23.340,60160
1818,Battery Voltage (mv),2020-11-20 08:30:23.340,16473
1819,Battery Rate (mW),2020-11-20 08:30:23.340,-10592
1820,Battery Tag,2020-11-20 08:30:53.272,5
1821,Battery Designed Capacity (mWh) ,2020-11-20 08:30:53.272,70000
1822,Battery Full Charged Capacity (mWh),2020-11-20 08:30:53.272,69720
1823,Battery Cycle Count,2020-11-20 08:30:53.272,12
1824,Battery Left (%).,2020-11-20 08:30:53.339,86
1825,Battery Flag,2020-11-20 08:30:53.339,1
1826,Battery Life Time (Seconds).,2020-11-20 08:30:53.339,22175
1827,Battery Charging.,2020-11-20 08:30:53.339,0
1828,Battery Discharging.,2020-11-20 08:30:53.339,1
1829,Battery MaxCapacity (mWh).,2020-11-20 08:30:53.339,69720
1830,Battery estimatedTime (Seconds).,2020-11-20 08:30:53.339,22175
1831,Battery Current Capacity (mWh),2020-11-20 08:30:53.339,60070
1832,Battery Voltage (mv),2020-11-20 08:30:53.339,16496
1833,Battery Rate (mW),2020-11-20 08:30:53.339,-11959
1834,Battery Tag,2020-11-20 08:31:23.272,5
1835,Battery Designed Capacity (mWh) ,2020-11-20 08:31:23.272,70000
1836,Battery Full Charged Capacity (mWh),2020-11-20 08:31:23.272,69720
1837,Battery Cycle Count,2020-11-20 08:31:23.272,12
1838,Battery Left (%).,2020-11-20 08:31:23.340,86
1839,Battery Flag,2020-11-20 08:31:23.340,1
1840,Battery Life Time (Seconds).,2020-11-20 08:31:23.340,22175
1841,Battery Charging.,2020-11-20 08:31:23.340,0
1842,Battery Discharging.,2020-11-20 08:31:23.340,1
1843,Battery MaxCapacity (mWh).,2020-11-20 08:31:23.340,69720
1844,Battery estimatedTime (Seconds).,2020-11-20 08:31:23.340,22175
1845,Battery Current Capacity (mWh),2020-11-20 08:31:23.340,59950
1846,Battery Voltage (mv),2020-11-20 08:31:23.340,16367
1847,Battery Rate (mW),2020-11-20 08:31:23.340,-14926
1848,Battery Tag,2020-11-20 08:31:53.271,5
1849,Battery Designed Capacity (mWh) ,2020-11-20 08:31:53.271,70000
1850,Battery Full Charged Capacity (mWh),2020-11-20 08:31:53.271,69720
1851,Battery Cycle Count,2020-11-20 08:31:53.271,12
1852,Battery Left (%).,2020-11-20 08:31:53.339,86
1853,Battery Flag,2020-11-20 08:31:53.339,1
1854,Battery Life Time (Seconds).,2020-11-20 08:31:53.339,22175
1855,Battery Charging.,2020-11-20 08:31:53.339,0
1856,Battery Discharging.,2020-11-20 08:31:53.339,1
1857,Battery MaxCapacity (mWh).,2020-11-20 08:31:53.339,69720
1858,Battery estimatedTime (Seconds).,2020-11-20 08:31:53.339,22175
1859,Battery Current Capacity (mWh),2020-11-20 08:31:53.339,59850
1860,Battery Voltage (mv),2020-11-20 08:31:53.339,16464
1861,Battery Rate (mW),2020-11-20 08:31:53.339,-11574
1862,Battery Tag,2020-11-20 08:32:23.271,5
1863,Battery Designed Capacity (mWh) ,2020-11-20 08:32:23.271,70000
1864,Battery Full Charged Capacity (mWh),2020-11-20 08:32:23.271,69720
1865,Battery Cycle Count,2020-11-20 08:32:23.271,12
1866,Battery Left (%).,2020-11-20 08:32:23.339,86
1867,Battery Flag,2020-11-20 08:32:23.339,1
1868,Battery Life Time (Seconds).,2020-11-20 08:32:23.339,22175
1869,Battery Charging.,2020-11-20 08:32:23.339,0
1870,Battery Discharging.,2020-11-20 08:32:23.339,1
1871,Battery MaxCapacity (mWh).,2020-11-20 08:32:23.339,69720
1872,Battery estimatedTime (Seconds).,2020-11-20 08:32:23.339,22175
1873,Battery Current Capacity (mWh),2020-11-20 08:32:23.339,59760
1874,Battery Voltage (mv),2020-11-20 08:32:23.339,16464
1875,Battery Rate (mW),2020-11-20 08:32:23.339,-10750
1876,Battery Tag,2020-11-20 08:32:53.270,5
1877,Battery Designed Capacity (mWh) ,2020-11-20 08:32:53.270,70000
1878,Battery Full Charged Capacity (mWh),2020-11-20 08:32:53.270,69720
1879,Battery Cycle Count,2020-11-20 08:32:53.270,12
1880,Battery Left (%).,2020-11-20 08:32:53.338,86
1881,Battery Flag,2020-11-20 08:32:53.338,1
1882,Battery Life Time (Seconds).,2020-11-20 08:32:53.338,22175
1883,Battery Charging.,2020-11-20 08:32:53.338,0
1884,Battery Discharging.,2020-11-20 08:32:53.338,1
1885,Battery MaxCapacity (mWh).,2020-11-20 08:32:53.338,69720
1886,Battery estimatedTime (Seconds).,2020-11-20 08:32:53.338,22175
1887,Battery Current Capacity (mWh),2020-11-20 08:32:53.338,59670
1888,Battery Voltage (mv),2020-11-20 08:32:53.338,16432
1889,Battery Rate (mW),2020-11-20 08:32:53.338,-11255
1890,Battery Tag,2020-11-20 08:33:23.269,5
1891,Battery Designed Capacity (mWh) ,2020-11-20 08:33:23.269,70000
1892,Battery Full Charged Capacity (mWh),2020-11-20 08:33:23.269,69720
1893,Battery Cycle Count,2020-11-20 08:33:23.269,12
1894,Battery Left (%).,2020-11-20 08:33:23.337,85
1895,Battery Flag,2020-11-20 08:33:23.337,1
1896,Battery Life Time (Seconds).,2020-11-20 08:33:23.337,19603
1897,Battery Charging.,2020-11-20 08:33:23.337,0
1898,Battery Discharging.,2020-11-20 08:33:23.337,1
1899,Battery MaxCapacity (mWh).,2020-11-20 08:33:23.337,69720
1900,Battery estimatedTime (Seconds).,2020-11-20 08:33:23.337,19603
1901,Battery Current Capacity (mWh),2020-11-20 08:33:23.337,59580
1902,Battery Voltage (mv),2020-11-20 08:33:23.337,16456
1903,Battery Rate (mW),2020-11-20 08:33:23.337,-10893
1904,Battery Tag,2020-11-20 08:33:53.269,5
1905,Battery Designed Capacity (mWh) ,2020-11-20 08:33:53.269,70000
1906,Battery Full Charged Capacity (mWh),2020-11-20 08:33:53.269,69720
1907,Battery Cycle Count,2020-11-20 08:33:53.269,12
1908,Battery Left (%).,2020-11-20 08:33:53.337,85
1909,Battery Flag,2020-11-20 08:33:53.337,1
1910,Battery Life Time (Seconds).,2020-11-20 08:33:53.337,19603
1911,Battery Charging.,2020-11-20 08:33:53.337,0
1912,Battery Discharging.,2020-11-20 08:33:53.337,1
1913,Battery MaxCapacity (mWh).,2020-11-20 08:33:53.337,69720
1914,Battery estimatedTime (Seconds).,2020-11-20 08:33:53.337,19603
1915,Battery Current Capacity (mWh),2020-11-20 08:33:53.337,59490
1916,Battery Voltage (mv),2020-11-20 08:33:53.337,16459
1917,Battery Rate (mW),2020-11-20 08:33:53.337,-11290
1918,Battery Tag,2020-11-20 08:34:23.268,5
1919,Battery Designed Capacity (mWh) ,2020-11-20 08:34:23.268,70000
1920,Battery Full Charged Capacity (mWh),2020-11-20 08:34:23.268,69720
1921,Battery Cycle Count,2020-11-20 08:34:23.268,12
1922,Battery Left (%).,2020-11-20 08:34:23.336,85
1923,Battery Flag,2020-11-20 08:34:23.336,1
1924,Battery Life Time (Seconds).,2020-11-20 08:34:23.336,19603
1925,Battery Charging.,2020-11-20 08:34:23.336,0
1926,Battery Discharging.,2020-11-20 08:34:23.336,1
1927,Battery MaxCapacity (mWh).,2020-11-20 08:34:23.336,69720
1928,Battery estimatedTime (Seconds).,2020-11-20 08:34:23.336,19603
1929,Battery Current Capacity (mWh),2020-11-20 08:34:23.336,59390
1930,Battery Voltage (mv),2020-11-20 08:34:23.336,16404
1931,Battery Rate (mW),2020-11-20 08:34:23.336,-12007
1932,Battery Tag,2020-11-20 08:34:53.268,5
1933,Battery Designed Capacity (mWh) ,2020-11-20 08:34:53.268,70000
1934,Battery Full Charged Capacity (mWh),2020-11-20 08:34:53.268,69720
1935,Battery Cycle Count,2020-11-20 08:34:53.268,12
1936,Battery Left (%).,2020-11-20 08:34:53.335,85
1937,Battery Flag,2020-11-20 08:34:53.335,1
1938,Battery Life Time (Seconds).,2020-11-20 08:34:53.335,19603
1939,Battery Charging.,2020-11-20 08:34:53.335,0
1940,Battery Discharging.,2020-11-20 08:34:53.335,1
1941,Battery MaxCapacity (mWh).,2020-11-20 08:34:53.335,69720
1942,Battery estimatedTime (Seconds).,2020-11-20 08:34:53.335,19603
1943,Battery Current Capacity (mWh),2020-11-20 08:34:53.335,59290
1944,Battery Voltage (mv),2020-11-20 08:34:53.335,16334
1945,Battery Rate (mW),2020-11-20 08:34:53.335,-11842
1946,Battery Tag,2020-11-20 08:35:23.268,5
1947,Battery Designed Capacity (mWh) ,2020-11-20 08:35:23.268,70000
1948,Battery Full Charged Capacity (mWh),2020-11-20 08:35:23.268,69720
1949,Battery Cycle Count,2020-11-20 08:35:23.268,12
1950,Battery Left (%).,2020-11-20 08:35:23.336,85
1951,Battery Flag,2020-11-20 08:35:23.336,1
1952,Battery Life Time (Seconds).,2020-11-20 08:35:23.336,19603
1953,Battery Charging.,2020-11-20 08:35:23.336,0
1954,Battery Discharging.,2020-11-20 08:35:23.336,1
1955,Battery MaxCapacity (mWh).,2020-11-20 08:35:23.336,69720
1956,Battery estimatedTime (Seconds).,2020-11-20 08:35:23.336,19603
1957,Battery Current Capacity (mWh),2020-11-20 08:35:23.336,59200
1958,Battery Voltage (mv),2020-11-20 08:35:23.336,16464
1959,Battery Rate (mW),2020-11-20 08:35:23.336,-10257
1960,Battery Tag,2020-11-20 08:35:53.268,5
1961,Battery Designed Capacity (mWh) ,2020-11-20 08:35:53.268,70000
1962,Battery Full Charged Capacity (mWh),2020-11-20 08:35:53.268,69720
1963,Battery Cycle Count,2020-11-20 08:35:53.268,12
1964,Battery Left (%).,2020-11-20 08:35:53.336,85
1965,Battery Flag,2020-11-20 08:35:53.336,1
1966,Battery Life Time (Seconds).,2020-11-20 08:35:53.336,19603
1967,Battery Charging.,2020-11-20 08:35:53.336,0
1968,Battery Discharging.,2020-11-20 08:35:53.336,1
1969,Battery MaxCapacity (mWh).,2020-11-20 08:35:53.336,69720
1970,Battery estimatedTime (Seconds).,2020-11-20 08:35:53.336,19603
1971,Battery Current Capacity (mWh),2020-11-20 08:35:53.336,59130
1972,Battery Voltage (mv),2020-11-20 08:35:53.336,16457
1973,Battery Rate (mW),2020-11-20 08:35:53.336,-8952
1974,Battery Tag,2020-11-20 08:36:23.268,5
1975,Battery Designed Capacity (mWh) ,2020-11-20 08:36:23.268,70000
1976,Battery Full Charged Capacity (mWh),2020-11-20 08:36:23.268,69720
1977,Battery Cycle Count,2020-11-20 08:36:23.268,12
1978,Battery Left (%).,2020-11-20 08:36:23.336,85
1979,Battery Flag,2020-11-20 08:36:23.336,1
1980,Battery Life Time (Seconds).,2020-11-20 08:36:23.336,19603
1981,Battery Charging.,2020-11-20 08:36:23.336,0
1982,Battery Discharging.,2020-11-20 08:36:23.336,1
1983,Battery MaxCapacity (mWh).,2020-11-20 08:36:23.336,69720
1984,Battery estimatedTime (Seconds).,2020-11-20 08:36:23.336,19603
1985,Battery Current Capacity (mWh),2020-11-20 08:36:23.336,59050
1986,Battery Voltage (mv),2020-11-20 08:36:23.336,16460
1987,Battery Rate (mW),2020-11-20 08:36:23.336,-8756
1988,Battery Tag,2020-11-20 08:36:53.267,5
